,App,Comment,0_registration/verification,1_customer_support,2_financial_products/account_blocked,3_app_functionality,estimated_topic
0,albo,"Me desespera!! Tarda mucho en cargar! Cada que entro, mi cuenta tarda mucho cargando, cada que cambio de pestana, se pone a cargar de nuevo! Y es muy molesto! Aveces quiero hacer movimientos rapidos y es tedioso entrar y tener que esperar hasta 5 minutos solo para que cargue la pestana de mi informacion de tarjeta o para depositar en un Oxxo. Por que tarda tanto en cargar?",0.3381265186407849,0.175623536917695,0.1079466208410801,0.37830332360043994,3_app_functionality
1,albo,"Piensa dos veces antes de confiar en esta app, todo empieza muy bonito te mandan tu tarjeta, spot muy llamativo, pero el calvario empieza cuando tienes un cargo no reconocido, es ahi cuando decidiras decir adios albo hola bancos de nuevo!! Realmente es un viacrucis primero si estan disponibles 24 horas una vez que les haces saber del cargo el cual no reconoces, Miles de preguntas, carta contracargos despues de una semana y despues de un mes tu folio de aclaracion y espera 180dias par resolucion",0.0062644930864723634,0.685027409210034,0.3025284295336563,0.00617966816983729,1_customer_support
2,albo,"Al principio fue buena opcion incluso me plantee en que fuera mi banco principal pero me regreso a mi banco anterior, si la quieres ocupar ocasionalmente aprovecha pero en definitiva pesimo, el tal ""Gustavo"" que me atendio nunca me ayudo con los reembolsos simplemente o me cerraban el chat o me ignoraban no vuelvo a ocupar albo para nada y me dare de baja. Un banco asi no sirve.",0.0805222621651672,0.3582998481949105,0.5493912195448395,0.011786670095082769,2_financial_products/account_blocked
3,albo,"No usen esta tarjeta!!! Despues de 2 semanas de que la instale me dicen que hubo un problema con mi identificacion. Mientras tanto, el dinero que transferi no se puede usar. En soporte me dice que tengo que esperar a que se active la tarjeta. Pesima idea haber instalado la app y haber realizado la transferencia inicial. Y mientras tyanto no puedo usar MI dinero!",0.10659745286059806,0.6346193903749681,0.24994157689130347,0.00884157987313041,1_customer_support
4,albo,"que mal cada vez mas espacio ocupa y mucha actualizacion, van de mal en peor ; es porque el gobierno pide toda la informacion de los cuentabientes, de seguro van a pedir mas datos y hasta el rostro como bbva, cuando vea eso voy a cancelar mi cuenta y avisarles a mis familiares y conocidos que hagan lo mismo. mucho ojo.",0.009548085293818507,0.009431844113412663,0.5721551609425385,0.4088649096502302,2_financial_products/account_blocked
5,albo,"Pesima, van dos veces que no llega una transferencia, la primera tardo 2 horas y de la segunda van 3 dias y no se ve reflejada, en su soporte son un asco, solo sirven para decir que espere otras 48 horas. No la descarguen.",0.010739550683380993,0.9670507409311143,0.01151672310822797,0.010692985277276683,1_customer_support
6,albo,"Hasta ahora pesima experiencia, hice un deposito por paynet, que se supone que se hace en 1hr, y han pasado 12hrs, y no aparece nada y subi un reporte que de nada sirve, tambien me di cuenta que me cobraron 59 pesos por la transferencia, al final me salia mas barato el mal servicio del banco tradicional",0.01070555439940139,0.9677827096971298,0.010878884101680166,0.010632851801788702,1_customer_support
7,albo,"Mala! Simplemente, prometen mucho y nada que cumplen No se refleja ninguna transferencia que me hagan, solo dice tener $25 que fue lo que desposite para activar la cuenta y aparte esos $25 me los robaron, si me transfiero $50 no se reflejan y deberia de tener $75 pero no, solo me pudo retransferir $50 ARREGLEN MI PROBLEMA! NO ME DAN SOLUCION, SOLO DICEN QUE MI APP NO ESTA ACTIALIZADA!",0.11398189155242529,0.3265750675311366,0.5482908718534023,0.011152169063035651,2_financial_products/account_blocked
8,albo,"No funciona el app, el servicio al cliente es pesimo y las transferencias tardan muchisimo en reflejarse. En resumen busquen otras opciones y no pierdan su tiempo con ALbo",0.016994169658899952,0.6997669138390455,0.2656855653683788,0.017553351133675718,1_customer_support
9,albo,"Se roba el dinero, hice una transferencia para pruebas y jamas llego el dinero a mi cuenta, es una lastima que se de a conocer por 26 pesos , una lastima, es mejor sacar una tarjeta de bancos en donde si este protegido su dinero, estos no sirven si no estan respaldados con la Condusef, una lastima , si se pudiera le doy 0 estrellas y ojo ya mande correo y no me responden",0.008820217456191751,0.4884714762999741,0.4939153274438828,0.008792978799951357,2_financial_products/account_blocked
